words,urlDrugName,effectiveness,sideEffects,rating
Treatment benefits were noticeable but not substantial. I did not respond to 100mg a day as I or the doctor had hoped. But it did allow me to stay focused throughout the day with out drowsiness or fatigue# so I give it a positive review. Treatment effectiveness varies among individuals,provigil,3.0,3.0,6.0
|Very quick migraine relief with no nausea or drowsiness. Other medications (such as Imitrex and Relpax) had little to no effect# or took a minimum of 1 to 2 hours for relief to begin. 

I really like the dissolving tablet# as I can take it anytime without having to find a water fountain or other beverage. Relief is very quick# generally within 20 to 30 minutes.|,maxalt,2.0,1.0,10.0
The xanax would act as a downer. It would calm me temporaily but could throw me into depression depending on the situation. If the situation was mildly tramatic the xanax would calm me but then follow by depression. The following day I would have residual sedation. The main complain was the addiction. It was not exactly like a craving but if you did not take it your body would feel like something was missing. It did not hurt but until I took it again I felt not quite content and as soon as I would take the pill my body would feel like it would give a sigh of relief. I think it is as much addiction to the mind as to the body.,xanax,3.0,1.0,5.0
The benefits were to eventually stop smoking.,chantix,3.0,4.0,5.0
to reduce acid production and stop acid reflux# the tablets are easy to swallow and moderately effective# their effectivity is diminished if reflux is already occuring.,ranitidine,3.0,3.0,7.0
Stopped inflammation. Reduced need for pain killers such as tylenol and advil.,prednisone,1.0,4.0,7.0
Reduction of infection of acute uncomplicated diverticulitis,augmentin,2.0,2.0,8.0
This medicine stopped post nasal drip# itching throat# eyes# and nose.,zyrtec,2.0,3.0,10.0
the treatment masked the psoriasis and what was considered arthritis,methotrexate,1.0,2.0,3.0
Helped build bone loss. Osteoporsis runs in my family. We are thin. Two of my sisters were diagnosed with osteoporsis in their early 40s. One sister fractured her pelvic bone at 40 from bone loss.,fosamax,1.0,3.0,9.0
blood sugar controlled levels around 100-110# blood pressure had been normal ever since i was placed on these b/p medications.xanax was the only one that could prevent anxiety and panic attacks and help me sleep. as for fosamax# i have not had a follow up bone density so i do not know how beneficial it is for treating osteoporosis,xanax,1.0,1.0,9.0
I have suffered of rapid heart rate for sometime because of my thyroid problem. I was given this medicine to get my heart rate controlled. First few weeks the medicine did not seem to work for me but my doctor increased the dosage to 20mg twice a day# then that was the time I started to feel my heart rate slow down. The medicine is definitely effective but I guess the effect of it depends on the individual as it requres a certain dosage for it to work effectively.,propranolol,2.0,1.0,5.0
The use of premarin reduced hot flashes and kept my skin looking younger. My skin doesn't look good since discontinuation of prenarin.,premarin,3.0,1.0,4.0
Lovenox is given in subsequent pregnancies to women with recurrent miscarriage due to autoimmune issues.  Prior to taking Lovenox# I had two second trimester losses and thanks to Lovenox I was able to carry my two daughters to term.  It allowed my placenta to last the pregnancy without clotting and I was able to successfully have two children.,lovenox,2.0,1.0,10.0
i was severly depressed for weeks and would just cry all the time. i had tried several other anidepressants and none of them worked. one day my doctor said lets try a new drug called effexor xr. i was started on 75 mg for about 2 months and was still depressed so then i was increased to 150 mg and have been on it since. i an so much happier and my family is also. this medicine has been my life saver and recommend anyone depressed to take this one,effexor-xr,2.0,1.0,9.0
more energy and alertness# less fatigue & regular normal period duration. Periods had been irregular# and often very heavy with severe cramps and clotting. Mental attitude improved. I became less tired during the day and required fewer hours of sleep to feel fully rested. Concentration improved and thought process seems much more clear after taking the medicine for about four months.,tirosint,2.0,3.0,9.0
Increased libido.,lexapro,4.0,2.0,3.0
The treatmeant benifits are that I showed a slight decrease in wrinkles. I really think that if used with other products it could be better. I also used sunscreen everyday. I really didn't see a difference in the sagging of the skin . I thought it would help with collagen production. I am continuing to use the product. I hope I see a difference.,renova,3.0,1.0,5.0
Initially prescribed 25mg Zoloft for depression # but after two weeks my condition was markedly worse. I realize that each of us have different tolerances to various substances# and after my GP changed the medication to 30mg daily of Cymbalta my condition started to improve# but relapsed after about 3 weeks. The assumption was that I had required the higher dose of 60mg daily# and since taking 60mg daily my condition has improved to be close to my normal happy self with interests in various things. My advice is to find the medication that 'agrees' with you and stick with it for at least 1 month.,cymbalta,1.0,1.0,7.0
Sore throat considerably better,omnicef,4.0,2.0,1.0
During first 12 months... lowered total cholesterol by 100 points# LDL by 90 points# and triglycerides by 74.11 months after starting medication# angina brought me to the ER. Cardiac catheterization was done and 60% blockage  found. 1 Year after that#more angina# another cath. and no change in blockage was found.,crestor,1.0,3.0,9.0
Nothing,naproxen,5.0,2.0,1.0
The treatment helped the patient focus on her daily tasks and enabled her to 'get going' in the morning.  In turn# the patient was able to exercise daily which also helped her maintain concentration throughout the day.  Daily exercise also helped her maintain her moods at a stable level.,strattera,1.0,1.0,8.0
Blood pressure medicine lowered pressure and controled very well. starting bp was 140/100 to now at 115/65 or close to that. Thyroid medicine used after partial thyroidectomy due to benign cyst. Can't tell whether working on not. This is mostly based on acceptable blood levels.,prempro,1.0,1.0,8.0
Infection cleared up but the cough did not. The Bronchitis returned and is still present. The Z pack was used on 2 seperate occasions but after the cough mucus was back to a clear color# my physician said I was fine. It is 3 weeks later and I still have Bronchitis and although my coughing is better it certainly is not gone.,zithromax,1.0,1.0,6.0
stops persistent coughs in 30 days.,kapidex,1.0,3.0,8.0
The benefits were great. I really liked Symbyax because it didn't give me side effects like the other medication I used to take did. I would wake up in the day feeling refreshed. As I was taking Seroquil for my Schitzophrenia# I would always wake up feeling exhausted and tired;still# even though I would take the medicine during the nights! I used to be stressed and aggravated all the time before Symbyax and Seroquil. Now that I'm on Symbyax# I'm emotionally numb and the voices in my head vanished. So I had a good nights sleep and didn't wake up as tired as Seroquil used to make me. :],symbyax,1.0,3.0,8.0
Was able to study 6 hours in a row# pay attention in class rather than daydream# made me want to be perfect and learn everything.,adderall-xr,2.0,4.0,8.0
Dramatic loss of weight and inches first week.  Settled into Meridia's Program provided over the Internet (comes with perscription).  Promised myself to follow the rules.  The toughest for me# was not to weigh myself everyday.  Meridia wanted me to check only once a week and I'm glad I refrained.  The thrill of seeing a huge difference each week has kept my knees from complaining.  The strength of Meridia has never lessened.  If I forget to take it# I feel like the bottom of my floor has opened up and I am in free fall.  It really is strange...  When I take it with my vitamins each morning# it gives me a definite feeling of support.  I am loosing 2 lbs each week along with inches.  I'm doing better than what they advertise but that is probably because I have a gym in my home.  I walk 70 miles/mo. and do free weights.  I also love my whey protein porrage in the morning with blueberries# shake for lunch and balanced meal for dinner.  I do eat snacks.  A Starbucks coffee (also made at home)# with 1/2 an energy bar... or# an orange.  Responsible eating.  I also understand the dynamics of over eating# being menopausal with depleated hormones.  Meridia has been a life saver for me.  Thanks to my fabulous Doctor# who is also using it.,meridia,2.0,3.0,10.0
I was having panic attacks and very high anxiety. Effexor XR helped to reduce the anxiety and eliminate the panic attacks. My depression is much# much better.,effexor-xr,2.0,3.0,10.0
lessened the symptoms of my depression after taking the medication for about 2 to 3 weeks time# increased my appetite level# made my sleep more regular (I was either sleeping too much# or too little before taking the medication)# increased my energy level,paxil,1.0,1.0,8.0
I was able to live# xanax gave me the ability to face life and dissolve my constant fear,xanax,2.0,3.0,9.0
cleared up chronic eczema.   Especially effective on elbows and legs.,protopic,2.0,3.0,10.0
Was prescribed in hospital to relieve nausea I was suffering# post foraminotomy.,zofran,5.0,5.0,1.0
After just three weeks# I felt immensely better and began to enjoy the things that previously I had enjoyed--liked gardening and playing tennis. I also slept soundly. It lifted my mood dramatically# but never made me manic. I also felt more like being with people and noticed that I was no longer so preoccupied with myself or awkwardly self-consciousness. In short# I wasn't depressed and anxious anymore!,serzone,2.0,1.0,10.0
I no longer suffered from heartburn and acid reflux.  One pill per day allows me to enjoy eating again and have no adverse effects from any type of food.  At least none that I am aware of.,lipitor,2.0,1.0,10.0
elevation of mood and clarity of thought.  Progress stalled out at 300 mg# but with increase to 450 mg can tell the difference.  I'm able to finally think and plan ahead and chip away at all the clutter I've not been able to deal with which accumulated while depressed.,wellbutrin-xl,3.0,1.0,7.0
I have tried so many anti depressants and always go back to zoloft.. works the best and is least expensive.. $10 a month compared to cymbalta for $400 a month.. It really works for me well.,zoloft,2.0,1.0,8.0
This drug did not completely eliminate outbreaks. While it may have diminished length and extent of outbreak# still had more than expected. Decided not to take any longer and had better results taking Olive Leaf extract daily,acyclovir,3.0,3.0,5.0
resume ovulation and maintain hormonal balance,provera,4.0,2.0,3.0
All symptoms of sinus infection gone by third day.,augmentin,2.0,4.0,9.0
Lowered heart rate from 100bpm+ to 65-75bpm and held blood pressure at a near-perfect level. Episodes of extremely high heart rate (200bpm+) suddenly initiating and sustaining for several hours diminished in frequency from at least once every 1-2 weeks to three times over one year.,atenolol,1.0,2.0,7.0
Got rid of hot flashes but made other things much worse.,prempro,3.0,2.0,4.0
Did have elimination of frown lines and crows feet but no one cares about having wrinkles or not when you are paralyzed.  Sadly wrinkles returned in 6 months but large nerves in my legs and and body continue to suffer daily with weakness several years later.   Risks too great for some temporary cosmetic procedure,botox,3.0,5.0,1.0
After suffering a spinal cord injury in 1987 resulting in quadriplegia (C5/C6 complete)# I experienced disassociated pain that was concentrated in my right thumb.  The problem got increasingly worse over the following years.  I ended up having to take a lot of ibuprofen and Vicodin# just to relieve the pain announce to allow me to get some work done.  However# the resulting side effects caused me to sleep a lot.  It also lead to depression.  I was finally given a prescription for gabapentin to try out.  It started working almost immediately.  After about two weeks I was rarely having the pain in my thumb anymore.  It doesn't cause me to get sleepy or feel drugged (like the Vicodin) so I have been able to work and concentrate on things once again.  It also seems to have helped with my depression# although that may have more to do with not having to deal with the pain# or the side effects of the pain relievers I was taking before.,neurontin,2.0,1.0,9.0
|Dexedrine as well as effexor# I found for my add works well the first few times# then the efficacy wears
off because of tolerance.

So now I take supplements# and find they work just as well but take 2 months to feel effects.|,dexedrine,5.0,4.0,1.0
|I can recommend a reputable pharmacy (Aricept) - pill24.org I received the order and it was on time and the pills work great.
P.S. 5% discount coupon code: 9sh73h|,aricept,2.0,3.0,9.0
This medicine was very effective.  It calms my stomach and I do not feel constant contraction and nervousness in my stomach.,aciphex,2.0,3.0,10.0
The accutane dried my skin and it was not oily like before I took the drug.  It helped in newly developing acne and cleared up the acne I already had.,accutane,1.0,4.0,7.0
reduction in visible tremor# caused by stress and kinetic movement. 100% reduction in headaches during period.,propranolol,1.0,1.0,10.0
Skin is clear smooth and brite. Best it has looked in years,avage,2.0,1.0,10.0
Allowed client to sleep without itching.,prednisone,4.0,1.0,4.0
ability to function/interact better especially in public.,lexapro,1.0,4.0,7.0
reduced bowel inflammation over a long period of time. when flare ups were severe# patient had to increase dose to 40mg daily and the dosage was tappered back to original dosage of 10mg.,prednisone,2.0,4.0,7.0
Depression was lifted. Anxiety lessened. General feeling of well-being for the first time in my entire life.,prozac,2.0,1.0,8.0
The drug helped to lift me out of the worst part of the depression# but it's not a complete cure.,pristiq,3.0,4.0,7.0
none particularly# i guess my appetite was reduced but after a while thats not a good thing. i only took them for 2 weeks so i didn't give then enough time to kick in and work probably because the side effects were too much to take,citalopram,5.0,4.0,2.0
none- did not relieve symptoms,paxil,5.0,2.0,1.0
|I have my life back.  That is the main treatment benefit.

I suffered from impulsive behaviors# probably the most harmful/dangerous of them being binge-eating and bulimia.  Since taking Lamictal at 300mg for 4 months now my eating habits have become completely normal.  I have not purged in 3 months.  This is amazing.  I would binge eat and purge because of anxiety.  Now I feel like a normal person--not obsessed with food# I eat when I am hungry# stop when satiated.  I have lost a LOT of weight (20 pounds in 3 months without dieting/counting calories# etc.)...nothing was wrong with my metabolism# it was the impulsive eating# stealing food from others# throwing it up (which gave me a high--not just to get rid of the calories# but it calmed me...).  I love the Lamictal for this because it's not like some meds that make you lose weight by destroying the appetite.  I am just a normal person now!  

I also quit the Lexapro as it was triggering hypomanic episodes.  The Lamictal is stabilizing my moods--it doesn't numb the depression like the SSRIs I have been on.  I feel things.  I am clear-headed.  But I am able to step back and not be hurt by every look I get from people# I am not paranoid anymore# I can wake up in the morning with energy and I fall asleep within 3 minutes of hitting the pillow.  I get sleepy at 10pm.  I am not hyper and can sit still for more than 2 minutes.  :-)

All good for me.  This is the right medication for me...|,lamictal,2.0,3.0,10.0
i was able to focus and organize my thoughts in a clear and concise manner.  i completed tasks more efficiently and had more patience with my children.,adderall,1.0,4.0,7.0
Adderall greatly improved my focus and concentration.  Before my diagnosis of adult ADD# I had a very difficult time focusing and staying on task.  I also experienced "hyper-focusing"# which prevented me from getting things done at work in a timely manner.  It has also helped improved my memory.,adderall,2.0,3.0,10.0
I had debilitating panic attacks and agoraphobia and Celexa completely saved me# allowed me to go live my life again. I even took a low dose and it still worked amazingly well# though it did take nearly a month to "kick in.",celexa,2.0,1.0,10.0
I felt better for the first few days# mood-wise.  But then I got depressed again.  So I guess that's not a benefit.,lamotrigine,4.0,2.0,1.0
Strattera helped my son slow down without making him groggy or taking away from his personality.,strattera,2.0,1.0,9.0
I've only been on it for a week but I've noticed a change already. I am more awake and it seems as though a fog has been lifted. I am thinking more clearly and don't feel so down.,abilify,1.0,3.0,6.0
I am in reasonable good health. I am non-diabetic# Serum Glucose level is normal [Fasting=100# PP=104]. I am a non-smoker since 7th March# 1975 [prior to that I smoked 60 cigarettes a day for17 years].My Blood lipids are within normal limits  [Total Cholesterol=108# HDL=36# LDL=62#VLDL=10.HDL is a bit low [36] but TC:HDL ratio=3.00 and appears to be within favourable range of low risk of "up to 4.5". Kidney function is also within normal range. Liver Function is also normal except SGPT=46. Haemogram is normal. Hb%=15.1. Serum Prostate Specific Antigen=0.75# well within nornal range.,ecotrin,3.0,2.0,3.0
birth control made easy only once a month,nuvaring,2.0,1.0,9.0
The acne has decreased and I have not had major skin irritation or sunburn like I know other acne treatments can cause.,differin,3.0,1.0,5.0
I did not notice much of an increase in milk production# but is difficult to say.  I was nursing and pumping milk at the time# and wanted to increase supply.,reglan,4.0,3.0,4.0
reduced total cholesterol by 42 / HDL increased by 5,zocor,1.0,1.0,8.0
lowered blood pressure,atacand,1.0,1.0,9.0
Lowered blood pressure# regression of LVH.,prinivil,3.0,1.0,9.0
slight improvement in reduction of my mild acne.  To be honest# the improvement was not even noticeable after two months..,retin-a-micro,4.0,4.0,3.0
Lowered viral load and increased t cell count. Also a benefit was the once a day dosing.,sustiva,1.0,5.0,1.0
I had severe coughing fits for more than two weeks. Several varieties of over the counter medications did not seem to help# neither did home remedies. Finally I consulted my physician and she proscribed Amoxicillin. I took it for 10 days# 500 mg tablets three times daily with food. At the end of the treatment period my coughing had subsided and then disappeared completely.,dispermox,1.0,1.0,7.0
It really helps to stop overeating and to become thinner. Also you're not drink alcohol at all and its become your habit ) Cause M. is not compatible with drinking. You have a lot of energy# do not thinking what to eat# where to eat and etc.. No any narcotic pleasure or panic# I had no any psyho effects at all. Only sleeping less may be.,meridia,2.0,5.0,9.0
I felt more flexible and i could sleep better.  Also# I could return to work much faster than expected.,naprosyn,1.0,1.0,6.0
Drug was effective in helping the me the sleep I needed. Did its job flawlessly.,ativan,1.0,4.0,8.0
I was plagued with sleeplessness# and the seroquel worked wonders for that. I've noticed a decrease in the speed of my thoughts and can concentrate much better than before.,seroquel,1.0,4.0,7.0
It made me happier. I did not feel down and hopeless while on the drug.,celexa,2.0,4.0,7.0
no longer caught up in constant delusions#able to attend partial hospital program 5 days a week. i maintain my own apartment and live with independence.i socialize with friends and i am no longer in and out of hospital.i look forward to joining the y.m.c.a. and start exercising and also am considering a part time job.,zyprexa,2.0,1.0,10.0
hopefully it got rid of many actinic keratoses permanently# but hard to say.  I think it made my skin look better# though.,efudex,3.0,2.0,4.0
I was able to stay successfully fall asleep and stay asleep the entire night.  I typically take 1-2 hours to fall asleep.  This starts to work in 30 minutes and allows me to get a full nights sleep without continuously waking up throughout the night.,ambien-cr,2.0,3.0,10.0
Longer life expectancy but wish I had know that my ovaries could be turned off before I started the drug then switched on again afterwards. As it is I went into a early menopuse with very# very#  severe side effects.Please get your Doctor to talk about ALL the possible side effects of menopause# including sexual.,taxotere,2.0,2.0,8.0
The benefits were to reduce my cholesterol,lipitor,4.0,5.0,1.0
Doctor prescribed Acyclovir for cold sores and said it would reduce duration of cold sores. In fact# it has completely eliminated flare ups for over 5 years. Before I started taking it# I would get a cold sore once or twice a year. It is very important to have a dose available at all times# because it is crucial to start taking it at the first sign of tingling. The effectiveness of this drug has far exceeded my expectations.,zovirax,2.0,3.0,10.0
The drug was used for removal of harmful stomach bacteria; it was a strong course of drugs but effective.,flagyl,1.0,4.0,6.0
I get very bad panic attacks and completely break down no matter where I am. I decided that I couldn't let it control my life anymore# so I talked to my doctor and he prescribed me clonazepam. This drug is very dependable and works fast. Whenever I feel anxiety coming on I will take 1 or 2 pills and I'm fine.,clonazepam,2.0,1.0,10.0
Completely eliminated my acne while I was on the drug# however acne did return once I stopped# though not as bad.,accutane,1.0,4.0,8.0
Although it did not completely rid me of my migraine it helped to dull the pain. I was actually able to go to work with a migraine instead to taking a day off to just lie still.,ponstel,1.0,3.0,7.0
treated pain due to an open wound from abdominal surgery,lortab,2.0,2.0,4.0
Achieved and maintained long term sobriety. No longer was exposed to the dangers of active asddiction. Began leading a healthy and productive lifestyle. Overall health improved. Mental health improved and stabilized.,methadone,2.0,4.0,8.0
Advair keeps my asthma completely in control if I am faithful to take the required dosage each day.  I have taken fluticasone before# but it seems to be the addition of salmeterol that is the key for keeping my asthma under control.,advair-diskus,2.0,3.0,10.0
None yet,mobic,4.0,4.0,1.0
In one year# I only had two periods. My periods before Depo were 2-3 days and very light# on Depo they were longer and heavier. It is so convenient not having to remember to take a pill everyday at the same day. It was also 100% effective with preventing pregnancy for me.,depo-provera,2.0,2.0,4.0
The Ortho Tri-Cyclen provided effective birth control# and it also did cause my mentstrual cylcle to be more regular. My periods were less heavy# and I did not have such severe menstrual cramping each month while I was taking the pills. There are no other benefits to taking the pill that I am aware of.,ortho-tri-cyclen,1.0,4.0,4.0
almost 100% elimination of allergy symptoms,zyrtec,2.0,4.0,7.0
Decreased crying and depression.  Decreased anxiety.  Got rid of insomnia.,citalopram,3.0,4.0,7.0
I thought the benefits would be one period every 3 months# pregnancy prevention# regulated periods. I also read that they would be lighter and shorter and help with acne. WRONG!,seasonique,3.0,4.0,5.0
Initially diagnosed with GERD 13 years ago# I was miserable with C/O heartburn and an uncomfortable epigastric "feeling" After EGD I was diagnosed with a hiatal hernia and gerd. Started on Prilosec and cut back on caffeine and quite smoking. I have not experienced any symptoms since that time.,prilosec,2.0,3.0,10.0
Before treatment I could not breathe sufficiently to move about. After taking the medication for approximately three days the symptons began to subside and I was albe to function again. All told it took approximately one week before I could return to normal activities.,prednisone,2.0,4.0,8.0
Bringing heart rate down from dangerous and very painful levels to comfortable levels. This was generally achieved within half an hour and lasted for many hours (i.e. until the spisode had passed - so no repeat dose usually required).,atenolol,2.0,4.0,7.0
controlled loose stool and fluid loss due to chemo; nausea control; control of mouth thrush# sores.  The Bentil in particular worked much better than immodium for diarhea control and fluid retention.  It also stopped colon muscle spasm.,bentyl,1.0,4.0,7.0
Birth control,nuvaring,2.0,3.0,10.0
I can't really say that the benefits were incredibly impressive. The topical treatment was used along side of an antibiotic for a series of weeks.(4-6) The acne condition improved# but never completely. Eventually# after a couple more scattered# severe breakouts in the following years; the acne went away.,differin,3.0,4.0,5.0
The benefits were amazing.  After 3 days# I felt good.  I didnot want to stay home and not see anybody.,lexapro,2.0,3.0,10.0
reduced the fatigue# swelling and pain associated with RA,prednisone,2.0,1.0,10.0
in theory# my bones should have gotten stronger# as measured by the bone scan done at my gynecologist office once every 18 months,fosamax,5.0,1.0,4.0
Initial signs of infection appeared to be treated effectively.,clindamycin,3.0,2.0,2.0
I was unable to go up and down steps without acute pain and unable to stand long or walk for too long without pain becoming unbearable.  I took my first dose of 100 mg  at bedtime and woke up in morning feeling almost like a new person.Tremendous reduction in pain and spasms of leg with greater range of motion.   After a day or two i had to increase the dosage as the knee started to stiffen up again making walking and steps difficult.,lyrica,2.0,4.0,9.0
Alprazolam worked wonders for me I wish I had gotten prescribed a long time ago# works very well for anxiety and panic.,alprazolam,2.0,1.0,10.0
Methadone certainly took care of the back pain I was experiencing. It was better than the other pain meds I tried (vicodin# oxycontin# percocet). The methadone doesn't make me drowsy nor does it give me "buzz".,methadone,2.0,4.0,9.0
None that I could see. Made me very sick and weak.,glucophage,5.0,5.0,1.0
I feel the treatment was very helpful in keeping my skin clear looking#and i think somewhat tighter#  it also  gave my face a healthy color and appearance #it was less dull the way aging skin can become. I also think it did keep some lines at bay.it gave me a much improved appearance#i have been using renova for a few years and I will continue to use this cream for a long time to come.,renova,3.0,1.0,8.0
|Helped me to feel better.  Lessened anxiety# panic attacks# tension# emotional exhaustion.  I was able to tolerate being around people better because talking did not seem so loud. Once I was used to the drug# it helped me get out of bed and function in day to day life better (falling asleep & getting out of bed was a serious struggle).  Eventually with the combined therapy# I pretty much now feel like myself again# just with less energy reserve and ability to have discipline with my routine.  (For instance# I can't get up early# during the 5am# 6am hours and get to work on time like I use to.  In fact I'm late for everything now which is out of my character) Can' tolerate multiple loads of stress with calmness and collectivity like I use to.  Otherwise day to day life is manageble as long as I obey my bodies new limitations.
I didn't gain weight or increase in appetite.  I struggled with appetite actually and at times had to force myself to eat.|,paxil,1.0,4.0,7.0
The benefits of tamoxifen have been to be cancer free 2 years after my diagnosis. Hopefully this "clean bill of health" will continue as I begin year 3 of tamoxifen in my 5 year plan. The benefits of effexor help balance the mood swings caused by a lowered amount of estrogen in my body. Tamoxifen does its job by keeping the estrogen blocked in my body so any abnormal cells can't feed on the estrogen. My cancer was highly estrogen-positive. Lowered estrogen causes depression and mood swings. Effexor helps to alleviate these symptoms along with my exercise regime and healthy eating habits.,nolvadex,3.0,4.0,7.0
I had terrible itching# watery eyes# and sneezing from seasonal allergies.  This medication did not completely elimiate my symptoms# but is reduced them to a tolerable level without making me too tired or doped up to function at work.,allegra,1.0,1.0,8.0
I lived in a constant state of panic (shortness of breath# rapid heart rate# flushed feeling)# and this medication completely erased all these symptoms.  I can now think clearly and make rational decisions.  I chose to stay on this very low dose and take an Ativan on the rare occasion a panic attack breaks through.,buspar,2.0,1.0,10.0
A slight reduction in pain. I am diabetic and was warned that it would raise my blood sugars# but it significantly reduced the night sugars.,prednisone,3.0,2.0,2.0
helps with ibs-c,dicyclomine,3.0,1.0,7.0
The medication took almost thirty minutes to kick in.  Once the medication started to take affect# I began to develop a tingling sensation in my left hand and later my right hand.  I also noticed my hands were very shaky after the medication was in my system for at least an hour.,relpax,4.0,4.0,5.0
My skin was much smoother and the pore size seemed to shrink.  Wrinkles were dimininshed and age spots lightened.,renova,1.0,2.0,5.0
The medication eliminated the nausea/stomach upset. Added benefit was weight loss because I could stop using food to settle my stomach.,nexium,2.0,3.0,10.0
Should complete decolonization of MRSA and hopefully ensure that infection does not reoccur.,doxycycline,2.0,4.0,7.0
My depression has lifted and I am able to concentrate more than I was previuosly,dextroamphetamine,1.0,1.0,8.0
None,klonopin,4.0,4.0,1.0
At least I tested it to see if i had Rhemutoid arth. before going through extensive testing.(I still have tto have test# but the doctor felt this might let us know which path to follow),mobic,5.0,4.0,2.0
There were no benefits.,claritin,5.0,3.0,1.0
lower cholesterol,lipitor,1.0,3.0,7.0
It stopped my Multiple Sclerosis progression.  I still take it.  There are a lot of MS patients  who are using it now.  It really works and is a very safe inexpensive drug.,naltrexone,2.0,3.0,10.0
About 14 years ago I started hyperventilating for no apparent reason.  I would wake up in the morning and within an hour I felt like I had to struggle to breath.  This would continue all day# every day.  After 5 years# I was prescribed alprazolam (the generic Xanax).  It worked almost immediately.  I still have some days that are worse than others# but it has been a lifesaver for me.  I take one when I get up and then 2 or 3 times again during the day as needed.  It stops the hyperventilating totally for the most part.,alprazolam,2.0,1.0,10.0
The Trental reduced my viral load# increased my sex drive from none to moderate and the side effects were just some stomach upset# which was fixed by reducing my dose to twice a day.,trental,2.0,1.0,8.0
|I do not feel there were any benefits from this treatment - only side effects.
Weaning off the the drug was extremely difficult.|,effexor-xr,4.0,1.0,3.0
|I was diagnosed with Bipolar II disorder in February of 2009. I found that my manic states led to very erratic and inconsistent behavior. I also found the depressive lows to be particularly difficult to manage.

